;;;DESVIO DO CARREGAMENTO;;;;;;;;;;;
Data;Hora;Pazeiro;;Vagão;Dieta;Nro Carregamento;;Ingrediente;Tipo Ingrediente;Carregado (kg);Previsto (kg);Desvio (kg);Desvio (%);Status
14/09/2025;16:15:01;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;Pré-Mistura;Pré-Mistura;227,68629;208;19,68629;9,47%;VERMELHO
14/09/2025;15:29:41;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Pré-Mistura;Pré-Mistura;346,12099;346;0,12099;0,04%;VERDE
14/09/2025;14:46:13;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Pré-Mistura;Pré-Mistura;359,1088;354;5,1088;1,44%;VERDE
14/09/2025;14:03:33;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
14/09/2025;13:22:39;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
14/09/2025;10:58:43;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;7;;Pré-Mistura;Pré-Mistura;220,386;220;0,386;0,18%;VERDE
14/09/2025;10:13:47;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
14/09/2025;09:34:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
14/09/2025;08:55:55;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
14/09/2025;08:11:09;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;Pré-Mistura;Pré-Mistura;293,848;294;0,152;-0,05%;VERDE
14/09/2025;07:21:41;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
14/09/2025;06:16:51;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
13/09/2025;17:01:12;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;Pré-Mistura;Pré-Mistura;180,71652;180;0,71652;0,40%;VERDE
13/09/2025;16:12:31;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Pré-Mistura;Pré-Mistura;354,54317;354;0,54317;0,15%;VERDE
