;;ITENS DE TRATO;;;;;;;;;;
Data de Inclusão;Id. Carregamento;;Hora;Dieta;;Carregamento;Ingrediente;Quantidade MN (kg);Motorista;Vagão;%MS Dieta Real;%NDT Dieta Real
08/09/2025;166039960000000;;06:05:10;TERMINACION SORGO-19/08/2025;;1;Sorgo, grão úmido silagem;1804,000000000;RUBEN VIERA;BAHMAN;44,35%;78,59%
08/09/2025;166039960000000;;06:09:28;TERMINACION SORGO-19/08/2025;;1;MAIZ HUMIDO;1905,000000000;RUBEN VIERA;BAHMAN;44,35%;78,59%
08/09/2025;166039960000000;;06:13:08;TERMINACION SORGO-19/08/2025;;1;FARELO DE SOJA;323,280000000;RUBEN VIERA;BAHMAN;44,35%;78,59%
08/09/2025;166039960000000;;06:13:08;TERMINACION SORGO-19/08/2025;;1;UREIA PECUARIA;45,296000000;RUBEN VIERA;BAHMAN;44,35%;78,59%
08/09/2025;166039960000000;;06:13:08;TERMINACION SORGO-19/08/2025;;1;NUCLEO CONFINAMIENTO;35,840000000;RUBEN VIERA;BAHMAN;44,35%;78,59%
08/09/2025;166039960000000;;06:13:08;TERMINACION SORGO-19/08/2025;;1;CALCAREO;32,584000000;RUBEN VIERA;BAHMAN;44,35%;78,59%
14/09/2025;166058760000000;;16:15:01;RECRIA FEMEA 08/08/2025;;12;FARELO DE SOJA;161,657201250;RUBEN VIERA;BAHMAN;35,21%;63,79%
14/09/2025;166058760000000;;16:15:01;RECRIA FEMEA 08/08/2025;;12;UREIA PECUARIA;27,324090000;RUBEN VIERA;BAHMAN;35,21%;63,79%
14/09/2025;166058760000000;;16:15:01;RECRIA FEMEA 08/08/2025;;12;NUCLEO CONFINAMIENTO;20,493067500;RUBEN VIERA;BAHMAN;35,21%;63,79%
14/09/2025;166058760000000;;16:15:01;RECRIA FEMEA 08/08/2025;;12;CALCAREO;18,211927500;RUBEN VIERA;BAHMAN;35,21%;63,79%
14/09/2025;166058760000000;;16:24:06;RECRIA FEMEA 08/08/2025;;12;CAPIASU;3981,000000000;RUBEN VIERA;BAHMAN;35,21%;63,79%
14/09/2025;166058560000000;;15:29:41;TERMINACION SORGO-19/08/2025;;11;FARELO DE SOJA;256,050126000;RUBEN VIERA;BAHMAN;41,21%;78,61%
