;;;TRATO POR CURRAL;;;;;;;;;;;
Id. Carregamento;Curral;Lote;;Trato;Peso Abastecido (kg);Dieta;;Data;Hora;Vagão;Tratador;Carregamento;%MS Dieta Real;%Ndt Dieta Real
166016150000000;19;19-G3-25;;1;225,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:16:26;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;24;24-G2-25;;1;175,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:17:30;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;25;25-G2-25;;1;265,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:17:56;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;27;27-G2-25;;1;260,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:18:27;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;28;28-G2-25;;1;250,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:18:45;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;29;29-G2-25;;1;240,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:19:03;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;36;36-G3-25;;1;375,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:31:37;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;50;50-G2-25;;1;325,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:29:18;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;51;51-G2-25;;1;240,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:28:56;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;54;54-G2-25;;1;280,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:28:17;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
166016150000000;58;58-G2-25;;1;305,0000;ADAP SORGO MILHETO/16/07/25.;;01/09/2025;08:22:47;BAHMAN;AGUSTIN LOPEZ;3 - ADAP SORGO MILHETO/16/07/25. - BAHMAN - 2025-09-01 08:10;42,40%;74,22%
